TID: [-1] [] [2019-01-11 14:36:11,064]  INFO {org.wso2.andes.wso2.internal.QpidBundleActivator} -  Setting BundleContext in PluginManager {org.wso2.andes.wso2.internal.QpidBundleActivator}
TID: [-1234] [] [2019-01-11 14:36:12,161]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Starting WSO2 Carbon... {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-01-11 14:36:12,161]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Operating System : Mac OS X 10.14.2, x86_64 {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-01-11 14:36:12,162]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java Home        : /Library/Java/JavaVirtualMachines/jdk1.8.0_151.jdk/Contents/Home/jre {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-01-11 14:36:12,162]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java Version     : 1.8.0_151 {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-01-11 14:36:12,162]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java VM          : Java HotSpot(TM) 64-Bit Server VM 25.151-b12,Oracle Corporation {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-01-11 14:36:12,162]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Carbon Home      : /Users/marcosmartinezhernandez/Documents/GitHub/wso2ApiMAndIS/wso2am-2.0.0 {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-01-11 14:36:12,162]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java Temp Dir    : /Users/marcosmartinezhernandez/Documents/GitHub/wso2ApiMAndIS/wso2am-2.0.0/tmp {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-01-11 14:36:12,162]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  User             : marcosmartinezhernandez, en-US, Europe/Madrid {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-01-11 14:36:12,254]  WARN {org.wso2.carbon.core.bootup.validator.util.ValidationResultPrinter} -  Swap Memory size (MB): 1024 of the system is below the recommended minimum size :2047 {org.wso2.carbon.core.bootup.validator.util.ValidationResultPrinter}
TID: [-1234] [] [2019-01-11 14:36:12,255]  WARN {org.wso2.carbon.core.bootup.validator.util.ValidationResultPrinter} -  Carbon is configured to use the default keystore (wso2carbon.jks). To maximize security when deploying to a production environment, configure a new keystore with a unique password in the production server profile. {org.wso2.carbon.core.bootup.validator.util.ValidationResultPrinter}
TID: [-1] [] [2019-01-11 14:36:12,535]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} -  Successfully deployed the Kafka output event adaptor service {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS}
TID: [-1] [] [2019-01-11 14:36:12,601]  INFO {org.wso2.carbon.event.processor.manager.core.internal.util.ManagementModeConfigurationLoader} -  CEP started in Single node mode {org.wso2.carbon.event.processor.manager.core.internal.util.ManagementModeConfigurationLoader}
